Partner_Info,Product_Title,Product_Body,Rating_Meter,Additional_Info,Difficulty_Level,Course_Type,Duration
IBM,Introduction to Artificial Intelligence (AI),"Skills you'll gain:Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Adaptability, Natural Language Processing, Data Science",4.7,15000 reviews,Beginner,Course,1 - 4 Weeks
IBM,Data Analysis with Python,"Skills you'll gain:Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Python Programming, Regression",4.7,19000 reviews,Intermediate,Course,4 - 12 Weeks
DeepLearning.AI,Machine Learning in Production,"Skills you'll gain:Machine Learning, Applied Machine Learning, Leadership and Management",4.8,3100 reviews,Intermediate,Course,1 - 4 Weeks
IBM,IBM Data Science,"Skills you'll gain:Python Programming, Machine Learning, Data Science, R Programming, Data Analysis, Professional Development, Algorithms, Big Data, Cloud Computing, Computer Programming, Data Mining, Data Model, Data Visualization, Databases, Deep Learning, Exploratory Data Analysis, General Statistics, Human Learning, IBM Cloud, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, SQL, Writing",4.6,135000 reviews,Beginner,Professional Certificate,12 - 24 Weeks
University of London,Foundations of Data Science: K-Means Clustering in Python,"Skills you'll gain:Data Analysis, Computer Programming, Python Programming, Statistical Analysis, Statistical Programming, Applied Machine Learning, Data Visualization, General Statistics, Machine Learning, Machine Learning Algorithms",4.6,682 reviews,Beginner,Course,4 - 12 Weeks
University of California San Diego,Code Free Data Science,"Skills you'll gain:Data Analysis, Big Data, Data Analysis Software, Data Management, Data Mining, Machine Learning, Algorithms, Data Model, Data Visualization Software, Decision Making",4.3,205 reviews,Beginner,Course,1 - 4 Weeks
DeepLearning.AI,Generative AI with Large Language Models,"Skills you'll gain:Machine Learning, Natural Language Processing, Python Programming",4.8,2900 reviews,Intermediate,Course,1 - 4 Weeks
IBM,IBM Data Analyst,"Skills you'll gain:Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Exploratory Data Analysis, Statistical Visualization, Business Analysis, Business Communication, Communication, Databases, Human Resources, Planning, SQL, Data Management, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Big Data, Cloud Computing, Computer Programming, Data Visualization Software, Interactive Data Visualization, Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression",4.6,85000 reviews,Beginner,Professional Certificate,12 - 24 Weeks
Google Cloud,Introduction to Generative AI,"Skills you'll gain:Artificial Neural Networks, Deep Learning, Machine Learning",4.7,5600 reviews,Beginner,Course,1 - 4 Weeks
IBM,Generative AI: Prompt Engineering Basics,Skills you'll gain:Artificial Neural Networks,4.8,2300 reviews,Beginner,Course,1 - 4 Weeks
DeepLearning.AI,AI For Everyone,"Skills you'll gain:Data Science, Deep Learning, Machine Learning, Artificial Neural Networks, Business Transformation, Human Learning, Planning, Project Management",4.8,44000 reviews,Beginner,Course,1 - 4 Weeks
IBM,AI Foundations for Everyone,"Skills you'll gain:Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Natural Language Processing, Human Computer Interaction, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Adaptability, Customer Analysis, Computer Programming, Data Science",4.7,20000 reviews,Beginner,Specialization,12 - 24 Weeks
